Date,Open,High,Low,Close,Adj Close,Volume
2024-01-29,192.0100,192.2000,189.5800,191.7300,191.7300,47145600
2024-01-30,190.9400,191.8000,187.4700,188.0400,188.0400,55859400
2024-01-31,187.0400,187.1000,184.3500,184.4000,184.4000,55467800
2024-02-01,183.9900,186.9500,183.8200,186.8600,186.8600,64885400
2024-02-02,179.8600,187.3300,179.2500,185.8500,185.8500,102518000
2024-02-05,188.1500,189.2500,185.8400,187.6800,187.6800,69668800
